Drug_Query	Drug_Found	Target_Name	Target_Type	Target_UniProt	Target_Species	Database	Reference	Assay_Type	Assay_Relation	Assay_Value	EvidenceLevel_Assigned
Sunitinib	Sunitinib	FLT4	Protein	P35916	Homo sapiens	DrugBank	15557593	NA	NA	NA	II
Sunitinib	Sunitinib	FLT4	Protein	P35916	Homo sapiens	DrugBank	17296815	NA	NA	NA	II
Sunitinib	Sunitinib	FLT4	Protein	P35916	Homo sapiens	IUPHAR	20570526	IC50	=	8.899999619	III
Sunitinib	Sunitinib	PDGFRB	Protein	P09619	Homo sapiens	DrugBank	16425993	NA	NA	NA	II
Sunitinib	Sunitinib	PDGFRB	Protein	P09619	Homo sapiens	DrugBank	12748309	NA	NA	NA	II
Sunitinib	Sunitinib	PDGFRB	Protein	P09619	Homo sapiens	DrugBank	12538485	NA	NA	NA	II
Sunitinib	Sunitinib	PDGFRB	Protein	P09619	Homo sapiens	DrugBank	14753710	NA	NA	NA	II
Sunitinib	Sunitinib	PDGFRB	Protein	P09619	Homo sapiens	DrugBank	15557593	NA	NA	NA	II
Sunitinib	Sunitinib	PDGFRB	Protein	P09619	Homo sapiens	IUPHAR	12538485	Ki	=	8	III
Sunitinib	Sunitinib	PDGFRB	Protein	P09619	Homo sapiens	IUPHAR	23279183	IC50	=	5.699999809	III
Sunitinib	Sunitinib	CSF1R	Protein	P07333	Homo sapiens	DrugBank	16425993	NA	NA	NA	II
Sunitinib	Sunitinib	CSF1R	Protein	P07333	Homo sapiens	DrugBank	11752352	NA	NA	NA	II
Sunitinib	Sunitinib	CSF1R	Protein	P07333	Homo sapiens	DrugBank	16533791	NA	NA	NA	II
Sunitinib	Sunitinib	CSF1R	Protein	P07333	Homo sapiens	DrugBank	16418310	NA	NA	NA	II
Sunitinib	Sunitinib	CSF1R	Protein	P07333	Homo sapiens	DrugBank	12538485	NA	NA	NA	II
Sunitinib	Sunitinib	CSF1R	Protein	P07333	Homo sapiens	DrugBank	12873999	NA	NA	NA	II
Sunitinib	Sunitinib	CSF1R	Protein	P07333	Homo sapiens	DrugBank	17367763	NA	NA	NA	II
Sunitinib	Sunitinib	CSF1R	Protein	P07333	Homo sapiens	DrugBank	15304385	NA	NA	NA	II
Sunitinib	Sunitinib	CSF1R	Protein	P07333	Homo sapiens	DrugBank	16685460	NA	NA	NA	II
Sunitinib	Sunitinib	CSF1R	Protein	P07333	Homo sapiens	DrugBank	17605814	NA	NA	NA	II
Sunitinib	Sunitinib	CSF1R	Protein	P07333	Homo sapiens	DrugBank	12748309	NA	NA	NA	II
Sunitinib	Sunitinib	CSF1R	Protein	P07333	Homo sapiens	DrugBank	15688612	NA	NA	NA	II
Sunitinib	Sunitinib	CSF1R	Protein	P07333	Homo sapiens	DrugBank	14753710	NA	NA	NA	II
Sunitinib	Sunitinib	CSF1R	Protein	P07333	Homo sapiens	DrugBank	14654525	NA	NA	NA	II
Sunitinib	Sunitinib	CSF1R	Protein	P07333	Homo sapiens	DrugBank	17545799	NA	NA	NA	II
Sunitinib	Sunitinib	CSF1R	Protein	P07333	Homo sapiens	DrugBank	16648572	NA	NA	NA	II
Sunitinib	Sunitinib	CSF1R	Protein	P07333	Homo sapiens	DrugBank	15557593	NA	NA	NA	II
Sunitinib	Sunitinib	CSF1R	Protein	P07333	Homo sapiens	DrugBank	15180525	NA	NA	NA	II
Sunitinib	Sunitinib	CSF1R	Protein	P07333	Homo sapiens	DrugBank	17296815	NA	NA	NA	II
Sunitinib	Sunitinib	CSF1R	Protein	P07333	Homo sapiens	DrugBank	12531805	NA	NA	NA	II
Sunitinib	Sunitinib	FGFR1	Protein	P11362	Homo sapiens	IUPHAR	12538485	Ki	=	830	III
Darolutamide	Darolutamide	AR	Protein	P10275	Homo sapiens	DrugBank	28801852	NA	NA	NA	II
Darolutamide	Darolutamide	AR	Protein	P10275	Homo sapiens	DrugBank	31571095	NA	NA	NA	II
Darolutamide	Darolutamide	AR	Protein	P10275	Homo sapiens	DrugBank	30197098	NA	NA	NA	II
Darolutamide	Darolutamide	PGR	Protein	P06401	Homo sapiens	DrugBank	28801852	NA	NA	NA	II
Darolutamide	Darolutamide	PGR	Protein	P06401	Homo sapiens	DrugBank	31571095	NA	NA	NA	II
Darolutamide	Darolutamide	PGR	Protein	P06401	Homo sapiens	DrugBank	30197098	NA	NA	NA	II
Dexrazoxane Hydrochloride	Dexrazoxane Hydrochloride	TOP2B	Protein	Q02880	Homo sapiens	DrugBank	17016423	NA	NA	NA	II
Dexrazoxane Hydrochloride	Dexrazoxane Hydrochloride	TOP2B	Protein	Q02880	Homo sapiens	DrugBank	11752352	NA	NA	NA	II
Dexrazoxane Hydrochloride	Dexrazoxane Hydrochloride	TOP2B	Protein	Q02880	Homo sapiens	DrugBank	17139284	NA	NA	NA	II
Dexrazoxane Hydrochloride	Dexrazoxane Hydrochloride	TOP2B	Protein	Q02880	Homo sapiens	DrugBank	17115008	NA	NA	NA	II
Dexrazoxane Hydrochloride	Dexrazoxane Hydrochloride	TOP2B	Protein	Q02880	Homo sapiens	DrugBank	10592235	NA	NA	NA	II
Dexrazoxane Hydrochloride	Dexrazoxane Hydrochloride	TOP2B	Protein	Q02880	Homo sapiens	DrugBank	11984069	NA	NA	NA	II
Dexrazoxane Hydrochloride	Dexrazoxane Hydrochloride	TOP2B	Protein	Q02880	Homo sapiens	DrugBank	17652819	NA	NA	NA	II
Dexrazoxane Hydrochloride	Dexrazoxane Hydrochloride	TOP2B	Protein	Q02880	Homo sapiens	DrugBank	11332155	NA	NA	NA	II
Dexrazoxane Hydrochloride	Dexrazoxane Hydrochloride	TOP2B	Protein	Q02880	Homo sapiens	DrugBank	11179439	NA	NA	NA	II
Dexrazoxane Hydrochloride	Dexrazoxane Hydrochloride	TOP2B	Protein	Q02880	Homo sapiens	DrugBank	11046078	NA	NA	NA	II
Dexrazoxane Hydrochloride	Dexrazoxane Hydrochloride	TOP2B	Protein	Q02880	Homo sapiens	DrugBank	10194547	NA	NA	NA	II
Dexrazoxane Hydrochloride	Dexrazoxane Hydrochloride	TOP2B	Protein	Q02880	Homo sapiens	DrugBank	12911317	NA	NA	NA	II
Dexrazoxane Hydrochloride	Dexrazoxane Hydrochloride	TOP2A	Protein	P11388	Homo sapiens	DrugBank	11752352	NA	NA	NA	II
Dexrazoxane Hydrochloride	Dexrazoxane Hydrochloride	TOP2A	Protein	P11388	Homo sapiens	DrugBank	17115008	NA	NA	NA	II
Dexrazoxane Hydrochloride	Dexrazoxane Hydrochloride	TOP2A	Protein	P11388	Homo sapiens	DrugBank	11984069	NA	NA	NA	II
Dexrazoxane Hydrochloride	Dexrazoxane Hydrochloride	TOP2A	Protein	P11388	Homo sapiens	DrugBank	17652819	NA	NA	NA	II
Dexrazoxane Hydrochloride	Dexrazoxane Hydrochloride	TOP2A	Protein	P11388	Homo sapiens	DrugBank	11332155	NA	NA	NA	II
Dexrazoxane Hydrochloride	Dexrazoxane Hydrochloride	TOP2A	Protein	P11388	Homo sapiens	DrugBank	11179439	NA	NA	NA	II
Dexrazoxane Hydrochloride	Dexrazoxane Hydrochloride	TOP2A	Protein	P11388	Homo sapiens	DrugBank	11046078	NA	NA	NA	II
Dexrazoxane Hydrochloride	Dexrazoxane Hydrochloride	TOP2A	Protein	P11388	Homo sapiens	DrugBank	10194547	NA	NA	NA	II
Dexrazoxane Hydrochloride	Dexrazoxane Hydrochloride	TOP2A	Protein	P11388	Homo sapiens	DrugBank	12911317	NA	NA	NA	II
Romiplostim	Romiplostim	MPL	Protein	P40238	Homo sapiens	IUPHAR	NA_IUPHAR	NA	NA	NA	I
Romiplostim	Romiplostim	MPL	Protein	P40238	Homo sapiens	DrugBank	23250851	NA	NA	NA	II
Gilteritinib	Gilteritinib	FLT3	Protein	P36888	Homo sapiens	DrugBank	27775694	NA	NA	NA	II
Gilteritinib	Gilteritinib	FLT3	Protein	P36888	Homo sapiens	DrugBank	26279055	NA	NA	NA	II
Gilteritinib	Gilteritinib	FLT3	Protein	P36888	Homo sapiens	DrugBank	28516360	NA	NA	NA	II
Gilteritinib	Gilteritinib	AXL	Protein	P30530	Homo sapiens	DrugBank	27775694	NA	NA	NA	II
Gilteritinib	Gilteritinib	AXL	Protein	P30530	Homo sapiens	DrugBank	26279055	NA	NA	NA	II
Gilteritinib	Gilteritinib	AXL	Protein	P30530	Homo sapiens	DrugBank	28516360	NA	NA	NA	II
Gilteritinib	Gilteritinib	HTR1A	Protein	P08908	Homo sapiens	DrugBank	27775694	NA	NA	NA	II
Gilteritinib	Gilteritinib	HTR1A	Protein	P08908	Homo sapiens	DrugBank	26279055	NA	NA	NA	II
Gilteritinib	Gilteritinib	HTR1A	Protein	P08908	Homo sapiens	DrugBank	28516360	NA	NA	NA	II
Gilteritinib	Gilteritinib	ALK	Protein	Q9UM73	Homo sapiens	DrugBank	27775694	NA	NA	NA	II
Gilteritinib	Gilteritinib	ALK	Protein	Q9UM73	Homo sapiens	DrugBank	26279055	NA	NA	NA	II
Gilteritinib	Gilteritinib	ALK	Protein	Q9UM73	Homo sapiens	DrugBank	28516360	NA	NA	NA	II
Ifosfamide	Ifosfamide	NR1I2	Protein	O75469	Homo sapiens	DrugBank	10100700	NA	NA	NA	II
Ifosfamide	Ifosfamide	NR1I2	Protein	O75469	Homo sapiens	DrugBank	16702183	NA	NA	NA	II
Ifosfamide	Ifosfamide	NR1I2	Protein	O75469	Homo sapiens	DrugBank	18839173	NA	NA	NA	II
Ifosfamide	Ifosfamide	NR1I2	Protein	O75469	Homo sapiens	DrugBank	15827549	NA	NA	NA	II
Ifosfamide	Ifosfamide	NR1I2	Protein	O75469	Homo sapiens	DrugBank	14586139	NA	NA	NA	II
Halofuginone	Halofuginone	COL1A1	Protein	P02452	Homo sapiens	DrugBank	11099465	NA	NA	NA	II
Halofuginone	Halofuginone	MMP2	Protein	P08253	Homo sapiens	DrugBank	11099465	NA	NA	NA	II
Pamidronate Disodium	Pamidronate Disodium	FDPS	Protein	P14324	Homo sapiens	DrugBank	12177810	NA	NA	NA	II
Pamidronate Disodium	Pamidronate Disodium	FDPS	Protein	P14324	Homo sapiens	DrugBank	20209564	NA	NA	NA	II
Pamidronate Disodium	Pamidronate Disodium	FDPS	Protein	P14324	Homo sapiens	DrugBank	11752352	NA	NA	NA	II
Pamidronate Disodium	Pamidronate Disodium	FDPS	Protein	P14324	Homo sapiens	DrugBank	10620343	NA	NA	NA	II
Pamidronate Disodium	Pamidronate Disodium	FDPS	Protein	P14324	Homo sapiens	DrugBank	15487700	NA	NA	NA	II
Pamidronate Disodium	Pamidronate Disodium	FDPS	Protein	P14324	Homo sapiens	DrugBank	15713990	NA	NA	NA	II
Pamidronate Disodium	Pamidronate Disodium	FDPS	Protein	P14324	Homo sapiens	DrugBank	11160603	NA	NA	NA	II
Pamidronate Disodium	Pamidronate Disodium	FDPS	Protein	P14324	Homo sapiens	IUPHAR	18327899	IC50	=	200	III
Pamidronate Disodium	Pamidronate Disodium	CASP9	Protein	P55211	Homo sapiens	DrugBank	12177810	NA	NA	NA	II
Pamidronate Disodium	Pamidronate Disodium	CASP9	Protein	P55211	Homo sapiens	DrugBank	20209564	NA	NA	NA	II
Pamidronate Disodium	Pamidronate Disodium	CASP9	Protein	P55211	Homo sapiens	DrugBank	11752352	NA	NA	NA	II
Pamidronate Disodium	Pamidronate Disodium	CASP9	Protein	P55211	Homo sapiens	DrugBank	10620343	NA	NA	NA	II
Pamidronate Disodium	Pamidronate Disodium	CASP9	Protein	P55211	Homo sapiens	DrugBank	30650219	NA	NA	NA	II
Pamidronate Disodium	Pamidronate Disodium	CASP9	Protein	P55211	Homo sapiens	DrugBank	15487700	NA	NA	NA	II
Pamidronate Disodium	Pamidronate Disodium	CASP9	Protein	P55211	Homo sapiens	DrugBank	15713990	NA	NA	NA	II
Pamidronate Disodium	Pamidronate Disodium	CASP9	Protein	P55211	Homo sapiens	DrugBank	11160603	NA	NA	NA	II
Pamidronate Disodium	Pamidronate Disodium	CASP9	Protein	P55211	Homo sapiens	DrugBank	16298452	NA	NA	NA	II
Pamidronate Disodium	Pamidronate Disodium	CASP3	Protein	P42574	Homo sapiens	DrugBank	12177810	NA	NA	NA	II
Pamidronate Disodium	Pamidronate Disodium	CASP3	Protein	P42574	Homo sapiens	DrugBank	20209564	NA	NA	NA	II
Pamidronate Disodium	Pamidronate Disodium	CASP3	Protein	P42574	Homo sapiens	DrugBank	11752352	NA	NA	NA	II
Pamidronate Disodium	Pamidronate Disodium	CASP3	Protein	P42574	Homo sapiens	DrugBank	10620343	NA	NA	NA	II
Pamidronate Disodium	Pamidronate Disodium	CASP3	Protein	P42574	Homo sapiens	DrugBank	30650219	NA	NA	NA	II
Pamidronate Disodium	Pamidronate Disodium	CASP3	Protein	P42574	Homo sapiens	DrugBank	15487700	NA	NA	NA	II
Pamidronate Disodium	Pamidronate Disodium	CASP3	Protein	P42574	Homo sapiens	DrugBank	15713990	NA	NA	NA	II
Pamidronate Disodium	Pamidronate Disodium	CASP3	Protein	P42574	Homo sapiens	DrugBank	11160603	NA	NA	NA	II
Pamidronate Disodium	Pamidronate Disodium	CASP3	Protein	P42574	Homo sapiens	DrugBank	16298452	NA	NA	NA	II
Pamidronate Disodium	Pamidronate Disodium	GGPS1	Protein	O95749	Homo sapiens	DrugBank	12177810	NA	NA	NA	II
Pamidronate Disodium	Pamidronate Disodium	GGPS1	Protein	O95749	Homo sapiens	DrugBank	20209564	NA	NA	NA	II
Pamidronate Disodium	Pamidronate Disodium	GGPS1	Protein	O95749	Homo sapiens	DrugBank	11752352	NA	NA	NA	II
Pamidronate Disodium	Pamidronate Disodium	GGPS1	Protein	O95749	Homo sapiens	DrugBank	10620343	NA	NA	NA	II
Pamidronate Disodium	Pamidronate Disodium	GGPS1	Protein	O95749	Homo sapiens	DrugBank	30650219	NA	NA	NA	II
Pamidronate Disodium	Pamidronate Disodium	GGPS1	Protein	O95749	Homo sapiens	DrugBank	15487700	NA	NA	NA	II
Pamidronate Disodium	Pamidronate Disodium	GGPS1	Protein	O95749	Homo sapiens	DrugBank	15713990	NA	NA	NA	II
Pamidronate Disodium	Pamidronate Disodium	GGPS1	Protein	O95749	Homo sapiens	DrugBank	11160603	NA	NA	NA	II
Canertinib	Canertinib	EGFR	Protein	P00533	Homo sapiens	IUPHAR	10753475	IC50	=	1.5	III
Canertinib	Canertinib	EGFR	Protein	P00533	Homo sapiens	IUPHAR	22037378	Kd	=	0.189999998	III
Canertinib	Canertinib	ERBB2	Protein	P04626	Homo sapiens	IUPHAR	10753475	IC50	=	9	III
Omacetaxine Mepesuccinate	Omacetaxine Mepesuccinate	50S ribosomal protein L2	Protein	P20276	null	DrugBank	19362093	NA	NA	NA	II
Omacetaxine Mepesuccinate	Omacetaxine Mepesuccinate	RPL3	Protein	P39023	Homo sapiens	DrugBank	19362093	NA	NA	NA	II
Omacetaxine Mepesuccinate	Omacetaxine Mepesuccinate	RPL3	Protein	P39023	Homo sapiens	DrugBank	1730056	NA	NA	NA	II
Omacetaxine Mepesuccinate	Omacetaxine Mepesuccinate	RPL3	Protein	P39023	Homo sapiens	DrugBank	2583270	NA	NA	NA	II
Ethinylestradiol	Ethinylestradiol	NR1I2	Protein	O75469	Homo sapiens	DrugBank	17142999	NA	NA	NA	II
Ethinylestradiol	Ethinylestradiol	NR1I2	Protein	O75469	Homo sapiens	DrugBank	17125913	NA	NA	NA	II
Ethinylestradiol	Ethinylestradiol	NR1I2	Protein	O75469	Homo sapiens	DrugBank	11752352	NA	NA	NA	II
Ethinylestradiol	Ethinylestradiol	NR1I2	Protein	O75469	Homo sapiens	DrugBank	17124377	NA	NA	NA	II
Ethinylestradiol	Ethinylestradiol	NR1I2	Protein	O75469	Homo sapiens	DrugBank	17327420	NA	NA	NA	II
Ethinylestradiol	Ethinylestradiol	NR1I2	Protein	O75469	Homo sapiens	DrugBank	17138652	NA	NA	NA	II
Ethinylestradiol	Ethinylestradiol	NR1I2	Protein	O75469	Homo sapiens	DrugBank	17095591	NA	NA	NA	II
Ethinylestradiol	Ethinylestradiol	NR1I2	Protein	O75469	Homo sapiens	DrugBank	19237207	NA	NA	NA	II
Ethinylestradiol	Ethinylestradiol	NR1I2	Protein	O75469	Homo sapiens	DrugBank	19434891	NA	NA	NA	II
Ethinylestradiol	Ethinylestradiol	ESR1	Protein	P03372	Homo sapiens	DrugBank	17142999	NA	NA	NA	II
Ethinylestradiol	Ethinylestradiol	ESR1	Protein	P03372	Homo sapiens	DrugBank	17125913	NA	NA	NA	II
Ethinylestradiol	Ethinylestradiol	ESR1	Protein	P03372	Homo sapiens	DrugBank	11752352	NA	NA	NA	II
Ethinylestradiol	Ethinylestradiol	ESR1	Protein	P03372	Homo sapiens	DrugBank	17124377	NA	NA	NA	II
Ethinylestradiol	Ethinylestradiol	ESR1	Protein	P03372	Homo sapiens	DrugBank	17138652	NA	NA	NA	II
Ethinylestradiol	Ethinylestradiol	ESR1	Protein	P03372	Homo sapiens	DrugBank	17095591	NA	NA	NA	II
Ethinylestradiol	Ethinylestradiol	ESR1	Protein	P03372	Homo sapiens	DrugBank	19237207	NA	NA	NA	II
Ethinylestradiol	Ethinylestradiol	ESR1	Protein	P03372	Homo sapiens	DrugBank	19434891	NA	NA	NA	II
Gemcitabine	Gemcitabine	RRM2	Protein	P31350	Homo sapiens	IUPHAR	2233693	NA	NA	NA	II
Gemcitabine	Gemcitabine	RRM1	Protein	P23921	Homo sapiens	DrugBank	17636467	NA	NA	NA	II
Gemcitabine	Gemcitabine	RRM1	Protein	P23921	Homo sapiens	DrugBank	16807441	NA	NA	NA	II
Gemcitabine	Gemcitabine	RRM1	Protein	P23921	Homo sapiens	DrugBank	20348107	NA	NA	NA	II
Gemcitabine	Gemcitabine	RRM1	Protein	P23921	Homo sapiens	DrugBank	16708051	NA	NA	NA	II
Gemcitabine	Gemcitabine	RRM1	Protein	P23921	Homo sapiens	DrugBank	20798217	NA	NA	NA	II
Gemcitabine	Gemcitabine	RRM1	Protein	P23921	Homo sapiens	DrugBank	17065054	NA	NA	NA	II
Gemcitabine	Gemcitabine	RRM1	Protein	P23921	Homo sapiens	DrugBank	17131328	NA	NA	NA	II
Gemcitabine	Gemcitabine	RRM1	Protein	P23921	Homo sapiens	IUPHAR	2233693	NA	NA	NA	II
Gemcitabine	Gemcitabine	RRM1	Protein	P23921	Homo sapiens	DrugBank	16966686	NA	NA	NA	II
Gemcitabine	Gemcitabine	RRM1	Protein	P23921	Homo sapiens	DrugBank	20719935	NA	NA	NA	II
Gemcitabine	Gemcitabine	TYMS	Protein	P04818	Homo sapiens	DrugBank	16807441	NA	NA	NA	II
Gemcitabine	Gemcitabine	TYMS	Protein	P04818	Homo sapiens	DrugBank	20348107	NA	NA	NA	II
Gemcitabine	Gemcitabine	TYMS	Protein	P04818	Homo sapiens	DrugBank	11752352	NA	NA	NA	II
Gemcitabine	Gemcitabine	TYMS	Protein	P04818	Homo sapiens	DrugBank	20798217	NA	NA	NA	II
Gemcitabine	Gemcitabine	TYMS	Protein	P04818	Homo sapiens	DrugBank	17065054	NA	NA	NA	II
Gemcitabine	Gemcitabine	TYMS	Protein	P04818	Homo sapiens	DrugBank	17131328	NA	NA	NA	II
Gemcitabine	Gemcitabine	TYMS	Protein	P04818	Homo sapiens	DrugBank	16966686	NA	NA	NA	II
Gemcitabine	Gemcitabine	TYMS	Protein	P04818	Homo sapiens	DrugBank	20719935	NA	NA	NA	II
Gemcitabine	Gemcitabine	TYMS	Protein	P04818	Homo sapiens	DrugBank	16818276	NA	NA	NA	II
Gemcitabine	Gemcitabine	TYMS	Protein	P04818	Homo sapiens	DrugBank	17166391	NA	NA	NA	II
Gemcitabine	Gemcitabine	TYMS	Protein	P04818	Homo sapiens	DrugBank	17636467	NA	NA	NA	II
Gemcitabine	Gemcitabine	TYMS	Protein	P04818	Homo sapiens	DrugBank	16708051	NA	NA	NA	II
Gemcitabine	Gemcitabine	TYMS	Protein	P04818	Homo sapiens	DrugBank	16563096	NA	NA	NA	II
Gemcitabine	Gemcitabine	TYMS	Protein	P04818	Homo sapiens	DrugBank	15795320	NA	NA	NA	II
Gemcitabine	Gemcitabine	TYMS	Protein	P04818	Homo sapiens	DrugBank	16818496	NA	NA	NA	II
Gemcitabine	Gemcitabine	TYMS	Protein	P04818	Homo sapiens	DrugBank	15655942	NA	NA	NA	II
Gemcitabine	Gemcitabine	CMPK1	Protein	P30085	Homo sapiens	DrugBank	17565005	NA	NA	NA	II
Gemcitabine	Gemcitabine	CMPK1	Protein	P30085	Homo sapiens	DrugBank	16807441	NA	NA	NA	II
Gemcitabine	Gemcitabine	CMPK1	Protein	P30085	Homo sapiens	DrugBank	20348107	NA	NA	NA	II
Gemcitabine	Gemcitabine	CMPK1	Protein	P30085	Homo sapiens	DrugBank	11752352	NA	NA	NA	II
Gemcitabine	Gemcitabine	CMPK1	Protein	P30085	Homo sapiens	DrugBank	20798217	NA	NA	NA	II
Gemcitabine	Gemcitabine	CMPK1	Protein	P30085	Homo sapiens	DrugBank	17065054	NA	NA	NA	II
Gemcitabine	Gemcitabine	CMPK1	Protein	P30085	Homo sapiens	DrugBank	16041392	NA	NA	NA	II
Gemcitabine	Gemcitabine	CMPK1	Protein	P30085	Homo sapiens	DrugBank	17131328	NA	NA	NA	II
Gemcitabine	Gemcitabine	CMPK1	Protein	P30085	Homo sapiens	DrugBank	16966686	NA	NA	NA	II
Gemcitabine	Gemcitabine	CMPK1	Protein	P30085	Homo sapiens	DrugBank	15550676	NA	NA	NA	II
Gemcitabine	Gemcitabine	CMPK1	Protein	P30085	Homo sapiens	DrugBank	20719935	NA	NA	NA	II
Gemcitabine	Gemcitabine	CMPK1	Protein	P30085	Homo sapiens	DrugBank	16818276	NA	NA	NA	II
Gemcitabine	Gemcitabine	CMPK1	Protein	P30085	Homo sapiens	DrugBank	17166391	NA	NA	NA	II
Gemcitabine	Gemcitabine	CMPK1	Protein	P30085	Homo sapiens	DrugBank	17636467	NA	NA	NA	II
Gemcitabine	Gemcitabine	CMPK1	Protein	P30085	Homo sapiens	DrugBank	16708051	NA	NA	NA	II
Gemcitabine	Gemcitabine	CMPK1	Protein	P30085	Homo sapiens	DrugBank	17000136	NA	NA	NA	II
Gemcitabine	Gemcitabine	CMPK1	Protein	P30085	Homo sapiens	DrugBank	16563096	NA	NA	NA	II
Gemcitabine	Gemcitabine	CMPK1	Protein	P30085	Homo sapiens	DrugBank	15795320	NA	NA	NA	II
Gemcitabine	Gemcitabine	CMPK1	Protein	P30085	Homo sapiens	DrugBank	16818496	NA	NA	NA	II
Gemcitabine	Gemcitabine	CMPK1	Protein	P30085	Homo sapiens	DrugBank	15655942	NA	NA	NA	II
Quizartinib	Quizartinib	KIT	Protein	P10721	Homo sapiens	IUPHAR	19754199	Kd	=	4.800000191	III
Quizartinib	Quizartinib	PDGFRB	Protein	P09619	Homo sapiens	IUPHAR	19754199	Kd	=	7.699999809	III
Quizartinib	Quizartinib	RET	Protein	P07949	Homo sapiens	IUPHAR	19754199	Kd	=	9.899999619	III
Quizartinib	Quizartinib	PDGFRA	Protein	P16234	Homo sapiens	IUPHAR	19754199	Kd	=	11	III
Quizartinib	Quizartinib	FLT3	Protein	P36888	Homo sapiens	IUPHAR	19654408	IC50	=	4.199999809	III
Quizartinib	Quizartinib	FLT3	Protein	P36888	Homo sapiens	IUPHAR	22037378	Kd	=		III
Quizartinib	Quizartinib	FLT3	Protein	P36888	Homo sapiens	IUPHAR	19754199	Kd	=		III
Quizartinib	Quizartinib	CSF1R	Protein	P07333	Homo sapiens	IUPHAR	19754199	Kd	=	12	III
Atrasentan	Atrasentan	EDNRB	Protein	P24530	Homo sapiens	IUPHAR	8676339	Ki	=	138	III
Atrasentan	Atrasentan	EDNRA	Protein	P25101	Homo sapiens	IUPHAR	8632312	NA	NA	NA	II
Atrasentan	Atrasentan	EDNRA	Protein	P25101	Homo sapiens	DrugBank	16563629	NA	NA	NA	II
Atrasentan	Atrasentan	EDNRA	Protein	P25101	Homo sapiens	DrugBank	12563310	NA	NA	NA	II
Atrasentan	Atrasentan	EDNRA	Protein	P25101	Homo sapiens	DrugBank	16458417	NA	NA	NA	II
Atrasentan	Atrasentan	EDNRA	Protein	P25101	Homo sapiens	IUPHAR	8676339	Ki	=	0.034000002	III
Atrasentan	Atrasentan	EDNRA	Protein	P25101	Homo sapiens	IUPHAR	8632312	Ki	=	0.034000002	III
SB-431542	SB-431542	TGFBR1	Protein	P36897	Homo sapiens	IUPHAR	11855979	IC50	=	94	III
SB-431542	SB-431542	ACVR1C	Protein	Q8NER5	Homo sapiens	IUPHAR	19616940	NA	NA	NA	II
SB-431542	SB-431542	ACVR1C	Protein	Q8NER5	Homo sapiens	IUPHAR	23130626	NA	NA	NA	II
Seliciclib	Roscovitine	CDK1	Protein	P06493	Homo sapiens	DrugBank	17108108	NA	NA	NA	II
Seliciclib	Roscovitine	CDK2	Protein	P24941	Homo sapiens	DrugBank	17108108	NA	NA	NA	II
Seliciclib	Roscovitine	CDK2	Protein	P24941	Homo sapiens	IUPHAR	23252711	Ki	=	250	III
Seliciclib	Roscovitine	CDK2	Protein	P24941	Homo sapiens	IUPHAR	23252711	Ki	=	250	III
Seliciclib	Roscovitine	CDK7	Protein	P50613	Homo sapiens	DrugBank	17108108	NA	NA	NA	II
Seliciclib	Roscovitine	MAPK1	Protein	P28482	Homo sapiens	DrugBank	17108108	NA	NA	NA	II
Seliciclib	Roscovitine	CDK9	Protein	P50750	Homo sapiens	DrugBank	17108108	NA	NA	NA	II
Seliciclib	Roscovitine	CDK9	Protein	P50750	Homo sapiens	IUPHAR	23252711	Ki	=	790	III
Seliciclib	Roscovitine	CDK9	Protein	P50750	Homo sapiens	IUPHAR	23252711	Ki	=	790	III
Seliciclib	Roscovitine	MAPK3	Protein	P27361	Homo sapiens	DrugBank	17108108	NA	NA	NA	II
Seliciclib	Roscovitine	CSNK1E	Protein	P49674	Homo sapiens	DrugBank	17108108	NA	NA	NA	II
PRT062607	PRT062607	FGR	Protein	P09769	Homo sapiens	IUPHAR	22040680	IC50	=	81	III
PRT062607	PRT062607	SYK	Protein	P43405	Homo sapiens	IUPHAR	22040680	IC50	=	1	III
PRT062607	PRT062607	MAP3K9	Protein	P80192	Homo sapiens	IUPHAR	22040680	IC50	=	88	III
PHA-665752	PHA-665752	MET	Protein	P08581	Homo sapiens	IUPHAR	14612533	Ki	=	4	III
PHA-665752	PHA-665752	MET	Protein	P08581	Homo sapiens	IUPHAR	22037378	Kd	=	0.270000011	III
Methotrexate	Methotrexate	DHFR	Protein	P00374	Homo sapiens	DrugBank	11752352	NA	NA	NA	II
Methotrexate	Methotrexate	DHFR	Protein	P00374	Homo sapiens	DrugBank	16647263	NA	NA	NA	II
Methotrexate	Methotrexate	DHFR	Protein	P00374	Homo sapiens	DrugBank	16971132	NA	NA	NA	II
Methotrexate	Methotrexate	DHFR	Protein	P00374	Homo sapiens	DrugBank	16936229	NA	NA	NA	II
Methotrexate	Methotrexate	DHFR	Protein	P00374	Homo sapiens	DrugBank	24284432	NA	NA	NA	II
Methotrexate	Methotrexate	DHFR	Protein	P00374	Homo sapiens	DrugBank	17333344	NA	NA	NA	II
Methotrexate	Methotrexate	DHFR	Protein	P00374	Homo sapiens	DrugBank	17130456	NA	NA	NA	II
Methotrexate	Methotrexate	DHFR	Protein	P00374	Homo sapiens	IUPHAR	7877140	Ki	=	1.200000048	III
Methotrexate	Methotrexate	ATIC	Protein	P31939	Homo sapiens	DrugBank	11752352	NA	NA	NA	II
Methotrexate	Methotrexate	ATIC	Protein	P31939	Homo sapiens	DrugBank	16647263	NA	NA	NA	II
