ApplNo	ProductNo	TECode	TESequence	ProductMktStatus
017029	013	AP	1	1
017029	014	AP	1	1
017029	015	AP	1	1
017029	016	AP	1	1
017037	001	AP	1	1
017037	002	AP	1	1
017037	003	AP	1	1
017058	001	AA	1	1
017060	001	AB1	1	1
017067	002	AP	1	1
017078	001	AB	1	1
017078	002	AB	1	1
017078	003	AB	1	1
017087	001	AN	1	1
017105	007	AB	1	1
017105	008	AB	1	1
017116	002	AA	1	1
017340	001	AB	1	1
017354	001	AB	1	1
017355	001	AB	1	1
017362	002	AO	1	1
017376	001	AB	1	1
017376	002	AB	1	1
017377	001	AB	1	1
017377	002	AB	1	1
017378	001	AP	1	1
017378	002	AP	1	1
017381	001	AB	1	1
017386	001	AB	1	1
017386	002	AB	1	1
017386	003	AB	1	1
017398	001	AP	1	1
017407	001	AB	1	1
017407	002	AB	1	1
017407	003	AB	1	1
017426	001	AB	1	1
017427	001	AT	1	1
017428	001	AT	1	1
017433	001	AT	1	1
017433	002	AT	1	1
017441	001	BP	1	1
017442	001	AB	1	1
017442	002	AB	1	1
017442	003	AB	1	1
017443	001	AB	1	1
017443	002	AB	1	1
017443	003	AB	1	1
017447	001	AB	1	1
017447	002	AB	1	1
017464	001	AP	1	1
017469	001	AB	1	1
017473	001	AB	1	1
017473	003	AB	1	1
017478	001	BS	1	1
017512	001	AT	1	1
017512	002	AT	1	1
017512	003	AT	1	1
017512	004	AT	1	1
017512	005	AT	1	1
017512	006	AT	1	1
017512	007	AT	1	1
017512	008	AT	1	1
017512	009	AT	1	1
017513	001	AT	1	1
017514	001	AT	1	1
017521	001	AP	1	1
017521	002	AP	1	1
017521	003	AP	1	1
017521	004	AP	1	1
017521	005	AP	1	1
017521	006	AP	1	1
017522	001	AB1	1	1
017530	001	AP	1	1
017531	006	AB	1	1
017532	001	AB2	1	1
017532	002	AB2	1	1
017532	003	AB2	1	1
017533	001	AB	1	1
017533	002	AB	1	1
017533	003	AB	1	1
017534	005	AA	1	1
017538	001	AP	1	1
017555	001	AB	1	1
017555	002	AB	1	1
017555	003	AB	1	1
017563	003	AB	1	1
017563	004	AB	1	1
017565	001	AB	1	1
017565	002	AB	1	1
017575	001	AP	1	1
017575	002	AP	1	1
017579	002	AB	1	1
017581	002	AB	1	1
017581	003	AB	1	1
017581	004	AB	1	1
017584	001	AP	1	1
017584	002	AP	1	1
017585	001	AP	1	1
017607	001	AP	1	1
017608	001	AP	1	1
017624	001	AN	1	1
017634	001	AP	1	1
017634	002	AP	1	1
017634	003	AP	1	1
017635	001	AT	1	1
017641	001	AP	1	1
017643	001	AP	1	1
017648	001	AP	1	1
017648	002	AP	1	1
017648	005	AP	1	1
017651	006	AP	1	1
017656	001	AT	1	1
017681	001	AB	1	1
017692	001	AP	1	1
017702	001	AP	1	1
017714	001	AP	1	1
017735	001	AB	1	1
017743	001	AB	1	1
017776	001	BS	1	1
017783	001	AB	1	1
017783	002	AB	1	1
017788	001	AT	1	1
017794	001	AB	1	1
017794	002	AB	1	1
017794	003	AB	1	1
017806	001	AP	1	1
017806	002	AP	1	1
017807	001	BP	1	1
017812	001	AB	1	1
017812	002	AB	1	1
017812	003	AB	1	1
017830	001	AB	1	1
017831	001	AB	1	1
017831	002	AB	1	1
017854	001	AB	1	1
017854	002	AB	1	1
017865	001	AT	1	1
017866	001	AT	1	1
017867	001	AT	1	1
017874	001	AB	1	1
017875	001	AB	1	1
017876	001	AB	1	1
017881	001	BS	1	1
017892	001	AB	1	1
